,source,target,graph
1646,19,33,1
1648,19,34,1
1650,19,35,1
1652,19,36,1
1654,19,37,1
1656,19,38,1
1658,19,39,1
1660,19,40,1
1662,19,41,1
1664,19,42,1
1666,19,43,1
1668,19,44,1
1670,19,45,1
1709,19,20,1
1797,19,21,1
1885,19,22,1
1973,19,23,1
2061,19,24,1
2149,19,25,1
2237,19,26,1
2325,19,27,1
2413,19,28,1
2501,19,29,1
2589,19,30,1
2677,19,31,1
2765,19,32,1
2853,19,33,1
2941,19,34,1
3029,19,35,1
3117,19,36,1
3205,19,37,1
3293,19,38,1
3381,19,39,1
3469,19,40,1
3557,19,41,1
3645,19,42,1
3733,19,43,1
3821,19,44,1
3909,19,45,1
37,20,1,1
125,20,2,1
213,20,3,1
301,20,4,1
389,20,5,1
477,20,6,1
565,20,7,1
653,20,8,1
741,20,9,1
829,20,10,1
917,20,11,1
1005,20,12,1
1093,20,13,1
1181,20,14,1
1269,20,15,1
1357,20,16,1
1445,20,17,1
1533,20,18,1
1621,20,19,1
1672,20,1,1
1674,20,2,1
1676,20,3,1
1678,20,4,1
1680,20,5,1
1682,20,6,1
1684,20,7,1
1686,20,8,1
1688,20,9,1
1690,20,10,1
1692,20,11,1
1694,20,12,1
1696,20,13,1
1698,20,14,1
1700,20,15,1
1702,20,16,1
1704,20,17,1
1706,20,18,1
1708,20,19,1
1710,20,21,1
1712,20,22,1
1714,20,23,1
1716,20,24,1
1718,20,25,1
1720,20,26,1
1722,20,27,1
1724,20,28,1
1726,20,29,1
1728,20,30,1
1730,20,31,1
1732,20,32,1
1734,20,33,1
1736,20,34,1
1738,20,35,1
1740,20,36,1
1742,20,37,1
1744,20,38,1
1746,20,39,1
1748,20,40,1
1750,20,41,1
1752,20,42,1
1754,20,43,1
1756,20,44,1
1758,20,45,1
1799,20,21,1
1887,20,22,1
1975,20,23,1
2063,20,24,1
2151,20,25,1
2239,20,26,1
2327,20,27,1
2415,20,28,1
2503,20,29,1
2591,20,30,1
2679,20,31,1
2767,20,32,1
2855,20,33,1
2943,20,34,1
3031,20,35,1
3119,20,36,1
3207,20,37,1
3295,20,38,1
3383,20,39,1
3471,20,40,1
3559,20,41,1
3647,20,42,1
3735,20,43,1
3823,20,44,1
3911,20,45,1
39,21,1,1
127,21,2,1
215,21,3,1
303,21,4,1
391,21,5,1
479,21,6,1
567,21,7,1
655,21,8,1
743,21,9,1
831,21,10,1
919,21,11,1
1007,21,12,1
1095,21,13,1
1183,21,14,1
1271,21,15,1
1359,21,16,1
1447,21,17,1
1535,21,18,1
1623,21,19,1
1711,21,20,1
1760,21,1,1
1762,21,2,1
1764,21,3,1
1766,21,4,1
1768,21,5,1
1770,21,6,1
1772,21,7,1
1774,21,8,1
1776,21,9,1
1778,21,10,1
1780,21,11,1
1782,21,12,1
1784,21,13,1
1786,21,14,1
1788,21,15,1
1790,21,16,1
1792,21,17,1
1794,21,18,1
1796,21,19,1
1798,21,20,1
1800,21,22,1
1802,21,23,1
1804,21,24,1
1806,21,25,1
1808,21,26,1
1810,21,27,1
1812,21,28,1
1814,21,29,1
1816,21,30,1
1818,21,31,1
1820,21,32,1
1822,21,33,1
1824,21,34,1
1826,21,35,1
1828,21,36,1
1830,21,37,1
1832,21,38,1
1834,21,39,1
1836,21,40,1
1838,21,41,1
1840,21,42,1
1842,21,43,1
1844,21,44,1
1846,21,45,1
1889,21,22,1
1977,21,23,1
2065,21,24,1
2153,21,25,1
2241,21,26,1
2329,21,27,1
2417,21,28,1
2505,21,29,1
2593,21,30,1
2681,21,31,1
2769,21,32,1
2857,21,33,1
2945,21,34,1
3033,21,35,1
3121,21,36,1
3209,21,37,1
3297,21,38,1
3385,21,39,1
3473,21,40,1
3561,21,41,1
3649,21,42,1
3737,21,43,1
3825,21,44,1
3913,21,45,1
41,22,1,1
129,22,2,1
217,22,3,1
305,22,4,1
393,22,5,1
481,22,6,1
569,22,7,1
657,22,8,1
745,22,9,1
833,22,10,1
921,22,11,1
1009,22,12,1
1097,22,13,1
1185,22,14,1
1273,22,15,1
1361,22,16,1
1449,22,17,1
1537,22,18,1
1625,22,19,1
1713,22,20,1
1801,22,21,1
1848,22,1,1
1850,22,2,1
1852,22,3,1
1854,22,4,1
1856,22,5,1
1858,22,6,1
1860,22,7,1
1862,22,8,1
1864,22,9,1
1866,22,10,1
1868,22,11,1
1870,22,12,1
1872,22,13,1
1874,22,14,1
1876,22,15,1
1878,22,16,1
1880,22,17,1
1882,22,18,1
1884,22,19,1
1886,22,20,1
1888,22,21,1
1890,22,23,1
1892,22,24,1
1894,22,25,1
1896,22,26,1
1898,22,27,1
1900,22,28,1
1902,22,29,1
1904,22,30,1
1906,22,31,1
1908,22,32,1
1910,22,33,1
1912,22,34,1
1914,22,35,1
1916,22,36,1
1918,22,37,1
1920,22,38,1
1922,22,39,1
1924,22,40,1
1926,22,41,1
1928,22,42,1
1930,22,43,1
1932,22,44,1
1934,22,45,1
1979,22,23,1
2067,22,24,1
2155,22,25,1
2243,22,26,1
2331,22,27,1
2419,22,28,1
2507,22,29,1
2595,22,30,1
2683,22,31,1
2771,22,32,1
2859,22,33,1
2947,22,34,1
3035,22,35,1
3123,22,36,1
3211,22,37,1
3299,22,38,1
3387,22,39,1
3475,22,40,1
3563,22,41,1
3651,22,42,1
3739,22,43,1
3827,22,44,1
3915,22,45,1
43,23,1,1
131,23,2,1
219,23,3,1
307,23,4,1
395,23,5,1
483,23,6,1
571,23,7,1
659,23,8,1
747,23,9,1
835,23,10,1
923,23,11,1
1011,23,12,1
1099,23,13,1
1187,23,14,1
1275,23,15,1
1363,23,16,1
1451,23,17,1
1539,23,18,1
1627,23,19,1
1715,23,20,1
1803,23,21,1
1891,23,22,1
1936,23,1,1
1938,23,2,1
1940,23,3,1
1942,23,4,1
1944,23,5,1
1946,23,6,1
1948,23,7,1
1950,23,8,1
1952,23,9,1
1954,23,10,1
1956,23,11,1
1958,23,12,1
1960,23,13,1
1962,23,14,1
1964,23,15,1
1966,23,16,1
1968,23,17,1
1970,23,18,1
1972,23,19,1
1974,23,20,1
1976,23,21,1
1978,23,22,1
1980,23,24,1
1982,23,25,1
1984,23,26,1
1986,23,27,1
1988,23,28,1
1990,23,29,1
1992,23,30,1
1994,23,31,1
1996,23,32,1
1998,23,33,1
2000,23,34,1
2002,23,35,1
2004,23,36,1
2006,23,37,1
2008,23,38,1
2010,23,39,1
2012,23,40,1
2014,23,41,1
2016,23,42,1
2018,23,43,1
2020,23,44,1
2022,23,45,1
2069,23,24,1
2157,23,25,1
2245,23,26,1
2333,23,27,1
2421,23,28,1
2509,23,29,1
2597,23,30,1
2685,23,31,1
2773,23,32,1
2861,23,33,1
2949,23,34,1
3037,23,35,1
3125,23,36,1
3213,23,37,1
3301,23,38,1
3389,23,39,1
3477,23,40,1
3565,23,41,1
3653,23,42,1
3741,23,43,1
3829,23,44,1
3917,23,45,1
45,24,1,1
133,24,2,1
221,24,3,1
309,24,4,1
397,24,5,1
485,24,6,1
573,24,7,1
661,24,8,1
749,24,9,1
837,24,10,1
925,24,11,1
1013,24,12,1
1101,24,13,1
1189,24,14,1
1277,24,15,1
1365,24,16,1
1453,24,17,1
1541,24,18,1
1629,24,19,1
1717,24,20,1
1805,24,21,1
1893,24,22,1
1981,24,23,1
2024,24,1,1
2026,24,2,1
2028,24,3,1
2030,24,4,1
2032,24,5,1
2034,24,6,1
2036,24,7,1
2038,24,8,1
2040,24,9,1
2042,24,10,1
2044,24,11,1
2046,24,12,1
2048,24,13,1
2050,24,14,1
2052,24,15,1
2054,24,16,1
2056,24,17,1
2058,24,18,1
2060,24,19,1
2062,24,20,1
2064,24,21,1
2066,24,22,1
2068,24,23,1
2070,24,25,1
2072,24,26,1
2074,24,27,1
2076,24,28,1
2078,24,29,1
2080,24,30,1
2082,24,31,1
2084,24,32,1
2086,24,33,1
2088,24,34,1
2090,24,35,1
2092,24,36,1
2094,24,37,1
2096,24,38,1
2098,24,39,1
2100,24,40,1
2102,24,41,1
2104,24,42,1
2106,24,43,1
2108,24,44,1
2110,24,45,1
2159,24,25,1
2247,24,26,1
2335,24,27,1
2423,24,28,1
2511,24,29,1
2599,24,30,1
2687,24,31,1
2775,24,32,1
2863,24,33,1
2951,24,34,1
3039,24,35,1
3127,24,36,1
3215,24,37,1
3303,24,38,1
3391,24,39,1
3479,24,40,1
3567,24,41,1
3655,24,42,1
3743,24,43,1
3831,24,44,1
3919,24,45,1
47,25,1,1
135,25,2,1
223,25,3,1
311,25,4,1
399,25,5,1
487,25,6,1
575,25,7,1
663,25,8,1
751,25,9,1
839,25,10,1
927,25,11,1
1015,25,12,1
1103,25,13,1
1191,25,14,1
1279,25,15,1
1367,25,16,1
1455,25,17,1
1543,25,18,1
1631,25,19,1
1719,25,20,1
1807,25,21,1
1895,25,22,1
1983,25,23,1
2071,25,24,1
2112,25,1,1
2114,25,2,1
2116,25,3,1
2118,25,4,1
2120,25,5,1
2122,25,6,1
2124,25,7,1
2126,25,8,1
2128,25,9,1
2130,25,10,1
2132,25,11,1
2134,25,12,1
2136,25,13,1
2138,25,14,1
2140,25,15,1
2142,25,16,1
2144,25,17,1
2146,25,18,1
2148,25,19,1
2150,25,20,1
2152,25,21,1
2154,25,22,1
2156,25,23,1
2158,25,24,1
2160,25,26,1
2162,25,27,1
2164,25,28,1
2166,25,29,1
2168,25,30,1
2170,25,31,1
2172,25,32,1
2174,25,33,1
2176,25,34,1
2178,25,35,1
2180,25,36,1
2182,25,37,1
2184,25,38,1
2186,25,39,1
2188,25,40,1
2190,25,41,1
2192,25,42,1
2194,25,43,1
2196,25,44,1
2198,25,45,1
2249,25,26,1
2337,25,27,1
2425,25,28,1
2513,25,29,1
2601,25,30,1
2689,25,31,1
2777,25,32,1
2865,25,33,1
2953,25,34,1
3041,25,35,1
3129,25,36,1
3217,25,37,1
3305,25,38,1
3393,25,39,1
3481,25,40,1
3569,25,41,1
3657,25,42,1
3745,25,43,1
3833,25,44,1
3921,25,45,1
49,26,1,1
137,26,2,1
225,26,3,1
313,26,4,1
401,26,5,1
489,26,6,1
577,26,7,1
665,26,8,1
753,26,9,1
841,26,10,1
929,26,11,1
1017,26,12,1
1105,26,13,1
1193,26,14,1
1281,26,15,1
1369,26,16,1
1457,26,17,1
1545,26,18,1
1633,26,19,1
1721,26,20,1
1809,26,21,1
1897,26,22,1
1985,26,23,1
2073,26,24,1
2161,26,25,1
2200,26,1,1
2202,26,2,1
2204,26,3,1
2206,26,4,1
2208,26,5,1
2210,26,6,1
2212,26,7,1
2214,26,8,1
2216,26,9,1
2218,26,10,1
2220,26,11,1
2222,26,12,1
2224,26,13,1
2226,26,14,1
2228,26,15,1
2230,26,16,1
2232,26,17,1
2234,26,18,1
2236,26,19,1
2238,26,20,1
2240,26,21,1
2242,26,22,1
2244,26,23,1
2246,26,24,1
2248,26,25,1
2250,26,27,1
2252,26,28,1
2254,26,29,1
2256,26,30,1
2258,26,31,1
2260,26,32,1
2262,26,33,1
2264,26,34,1
2266,26,35,1
2268,26,36,1
2270,26,37,1
2272,26,38,1
2274,26,39,1
2276,26,40,1
2278,26,41,1
2280,26,42,1
2282,26,43,1
2284,26,44,1
2286,26,45,1
2339,26,27,1
2427,26,28,1
2515,26,29,1
2603,26,30,1
2691,26,31,1
2779,26,32,1
2867,26,33,1
2955,26,34,1
3043,26,35,1
3131,26,36,1
3219,26,37,1
3307,26,38,1
3395,26,39,1
3483,26,40,1
3571,26,41,1
3659,26,42,1
3747,26,43,1
3835,26,44,1
3923,26,45,1
51,27,1,1
139,27,2,1
227,27,3,1
315,27,4,1
403,27,5,1
491,27,6,1
579,27,7,1
667,27,8,1
755,27,9,1
843,27,10,1
931,27,11,1
1019,27,12,1
1107,27,13,1
1195,27,14,1
1283,27,15,1
1371,27,16,1
1459,27,17,1
1547,27,18,1
1635,27,19,1
1723,27,20,1
1811,27,21,1
1899,27,22,1
1987,27,23,1
2075,27,24,1
2163,27,25,1
2251,27,26,1
2288,27,1,1
2290,27,2,1
2292,27,3,1
2294,27,4,1
2296,27,5,1
2298,27,6,1
2300,27,7,1
2302,27,8,1
2304,27,9,1
2306,27,10,1
2308,27,11,1
2310,27,12,1
2312,27,13,1
2314,27,14,1
2316,27,15,1
2318,27,16,1
2320,27,17,1
2322,27,18,1
2324,27,19,1
2326,27,20,1
2328,27,21,1
2330,27,22,1
2332,27,23,1
2334,27,24,1
2336,27,25,1
2338,27,26,1
2340,27,28,1
2342,27,29,1
2344,27,30,1
2346,27,31,1
2348,27,32,1
2350,27,33,1
2352,27,34,1
2354,27,35,1
2356,27,36,1
2358,27,37,1
2360,27,38,1
2362,27,39,1
2364,27,40,1
2366,27,41,1
2368,27,42,1
2370,27,43,1
2372,27,44,1
2374,27,45,1
2429,27,28,1
2517,27,29,1
2605,27,30,1
2693,27,31,1
2781,27,32,1
2869,27,33,1
2957,27,34,1
3045,27,35,1
3133,27,36,1
3221,27,37,1
3309,27,38,1
3397,27,39,1
3485,27,40,1
3573,27,41,1
3661,27,42,1
3749,27,43,1
3837,27,44,1
3925,27,45,1
53,28,1,1
141,28,2,1
229,28,3,1
317,28,4,1
405,28,5,1
493,28,6,1
581,28,7,1
669,28,8,1
757,28,9,1
845,28,10,1
933,28,11,1
1021,28,12,1
1109,28,13,1
1197,28,14,1
1285,28,15,1
1373,28,16,1
1461,28,17,1
1549,28,18,1
1637,28,19,1
1725,28,20,1
1813,28,21,1
1901,28,22,1
1989,28,23,1
2077,28,24,1
2165,28,25,1
2253,28,26,1
2341,28,27,1
2376,28,1,1
2378,28,2,1
2380,28,3,1
2382,28,4,1
2384,28,5,1
2386,28,6,1
2388,28,7,1
2390,28,8,1
2392,28,9,1
2394,28,10,1
2396,28,11,1
2398,28,12,1
2400,28,13,1
2402,28,14,1
2404,28,15,1
2406,28,16,1
2408,28,17,1
2410,28,18,1
2412,28,19,1
2414,28,20,1
2416,28,21,1
2418,28,22,1
2420,28,23,1
2422,28,24,1
2424,28,25,1
2426,28,26,1
2428,28,27,1
2430,28,29,1
2432,28,30,1
2434,28,31,1
2436,28,32,1
2438,28,33,1
2440,28,34,1
2442,28,35,1
2444,28,36,1
2446,28,37,1
2448,28,38,1
2450,28,39,1
2452,28,40,1
2454,28,41,1
2456,28,42,1
2458,28,43,1
2460,28,44,1
2462,28,45,1
2519,28,29,1
2607,28,30,1
2695,28,31,1
2783,28,32,1
2871,28,33,1
2959,28,34,1
3047,28,35,1
3135,28,36,1
3223,28,37,1
3311,28,38,1
3399,28,39,1
3487,28,40,1
3575,28,41,1
3663,28,42,1
3751,28,43,1
3839,28,44,1
3927,28,45,1
55,29,1,1
143,29,2,1
231,29,3,1
319,29,4,1
407,29,5,1
495,29,6,1
583,29,7,1
671,29,8,1
759,29,9,1
847,29,10,1
935,29,11,1
1023,29,12,1
1111,29,13,1
1199,29,14,1
1287,29,15,1
1375,29,16,1
1463,29,17,1
1551,29,18,1
1639,29,19,1
1727,29,20,1
1815,29,21,1
1903,29,22,1
1991,29,23,1
2079,29,24,1
2167,29,25,1
2255,29,26,1
2343,29,27,1
2431,29,28,1
2464,29,1,1
2466,29,2,1
2468,29,3,1
2470,29,4,1
2472,29,5,1
2474,29,6,1
2476,29,7,1
2478,29,8,1
2480,29,9,1
2482,29,10,1
2484,29,11,1
2486,29,12,1
2488,29,13,1
2490,29,14,1
2492,29,15,1
2494,29,16,1
2496,29,17,1
2498,29,18,1
2500,29,19,1
2502,29,20,1
2504,29,21,1
2506,29,22,1
2508,29,23,1
2510,29,24,1
2512,29,25,1
2514,29,26,1
2516,29,27,1
2518,29,28,1
2520,29,30,1
2522,29,31,1
2524,29,32,1
2526,29,33,1
2528,29,34,1
2530,29,35,1
2532,29,36,1
2534,29,37,1
2536,29,38,1
2538,29,39,1
2540,29,40,1
2542,29,41,1
2544,29,42,1
2546,29,43,1
2548,29,44,1
2550,29,45,1
2609,29,30,1
2697,29,31,1
2785,29,32,1
2873,29,33,1
2961,29,34,1
3049,29,35,1
3137,29,36,1
3225,29,37,1
3313,29,38,1
3401,29,39,1
3489,29,40,1
3577,29,41,1
3665,29,42,1
3753,29,43,1
3841,29,44,1
3929,29,45,1
57,30,1,1
145,30,2,1
233,30,3,1
321,30,4,1
409,30,5,1
497,30,6,1
585,30,7,1
673,30,8,1
761,30,9,1
849,30,10,1
937,30,11,1
1025,30,12,1
1113,30,13,1
1201,30,14,1
1289,30,15,1
1377,30,16,1
1465,30,17,1
1553,30,18,1
1641,30,19,1
1729,30,20,1
1817,30,21,1
1905,30,22,1
1993,30,23,1
2081,30,24,1
2169,30,25,1
2257,30,26,1
2345,30,27,1
2433,30,28,1
2521,30,29,1
2552,30,1,1
2554,30,2,1
2556,30,3,1
2558,30,4,1
2560,30,5,1
2562,30,6,1
2564,30,7,1
2566,30,8,1
2568,30,9,1
2570,30,10,1
2572,30,11,1
2574,30,12,1
2576,30,13,1
2578,30,14,1
2580,30,15,1
2582,30,16,1
2584,30,17,1
2586,30,18,1
2588,30,19,1
2590,30,20,1
2592,30,21,1
2594,30,22,1
2596,30,23,1
2598,30,24,1
2600,30,25,1
2602,30,26,1
2604,30,27,1
2606,30,28,1
2608,30,29,1
2610,30,31,1
2612,30,32,1
2614,30,33,1
2616,30,34,1
2618,30,35,1
2620,30,36,1
2622,30,37,1
2624,30,38,1
2626,30,39,1
2628,30,40,1
2630,30,41,1
2632,30,42,1
2634,30,43,1
2636,30,44,1
2638,30,45,1
2699,30,31,1
2787,30,32,1
2875,30,33,1
2963,30,34,1
3051,30,35,1
3139,30,36,1
3227,30,37,1
3315,30,38,1
3403,30,39,1
3491,30,40,1
3579,30,41,1
3667,30,42,1
3755,30,43,1
3843,30,44,1
3931,30,45,1
59,31,1,1
147,31,2,1
235,31,3,1
323,31,4,1
411,31,5,1
499,31,6,1
587,31,7,1
675,31,8,1
763,31,9,1
851,31,10,1
939,31,11,1
1027,31,12,1
1115,31,13,1
1203,31,14,1
1291,31,15,1
1379,31,16,1
1467,31,17,1
1555,31,18,1
1643,31,19,1
1731,31,20,1
1819,31,21,1
1907,31,22,1
1995,31,23,1
2083,31,24,1
2171,31,25,1
2259,31,26,1
2347,31,27,1
2435,31,28,1
2523,31,29,1
2611,31,30,1
2640,31,1,1
2642,31,2,1
2644,31,3,1
2646,31,4,1
2648,31,5,1
2650,31,6,1
2652,31,7,1
2654,31,8,1
2656,31,9,1
2658,31,10,1
2660,31,11,1
2662,31,12,1
2664,31,13,1
2666,31,14,1
2668,31,15,1
2670,31,16,1
2672,31,17,1
2674,31,18,1
2676,31,19,1
2678,31,20,1
2680,31,21,1
2682,31,22,1
2684,31,23,1
2686,31,24,1
2688,31,25,1
2690,31,26,1
2692,31,27,1
2694,31,28,1
2696,31,29,1
2698,31,30,1
2700,31,32,1
2702,31,33,1
2704,31,34,1
2706,31,35,1
2708,31,36,1
2710,31,37,1
2712,31,38,1
2714,31,39,1
2716,31,40,1
2718,31,41,1
2720,31,42,1
2722,31,43,1
2724,31,44,1
2726,31,45,1
2789,31,32,1
2877,31,33,1
2965,31,34,1
3053,31,35,1
3141,31,36,1
3229,31,37,1
3317,31,38,1
3405,31,39,1
3493,31,40,1
3581,31,41,1
3669,31,42,1
3757,31,43,1
3845,31,44,1
3933,31,45,1
61,32,1,1
149,32,2,1
237,32,3,1
325,32,4,1
413,32,5,1
501,32,6,1
589,32,7,1
677,32,8,1
765,32,9,1
853,32,10,1
941,32,11,1
1029,32,12,1
1117,32,13,1
1205,32,14,1
1293,32,15,1
1381,32,16,1
1469,32,17,1
1557,32,18,1
1645,32,19,1
1733,32,20,1
1821,32,21,1
1909,32,22,1
1997,32,23,1
2085,32,24,1
2173,32,25,1
2261,32,26,1
2349,32,27,1
2437,32,28,1
2525,32,29,1
2613,32,30,1
2701,32,31,1
2728,32,1,1
2730,32,2,1
2732,32,3,1
2734,32,4,1
2736,32,5,1
2738,32,6,1
2740,32,7,1
2742,32,8,1
2744,32,9,1
2746,32,10,1
2748,32,11,1
2750,32,12,1
2752,32,13,1
2754,32,14,1
2756,32,15,1
2758,32,16,1
2760,32,17,1
2762,32,18,1
2764,32,19,1
2766,32,20,1
2768,32,21,1
2770,32,22,1
2772,32,23,1
2774,32,24,1
2776,32,25,1
2778,32,26,1
2780,32,27,1
2782,32,28,1
2784,32,29,1
2786,32,30,1
2788,32,31,1
2790,32,33,1
2792,32,34,1
2794,32,35,1
2796,32,36,1
2798,32,37,1
2800,32,38,1
2802,32,39,1
2804,32,40,1
2806,32,41,1
2808,32,42,1
2810,32,43,1
2812,32,44,1
2814,32,45,1
2879,32,33,1
2967,32,34,1
3055,32,35,1
3143,32,36,1
3231,32,37,1
3319,32,38,1
3407,32,39,1
3495,32,40,1
3583,32,41,1
3671,32,42,1
3759,32,43,1
3847,32,44,1
3935,32,45,1
63,33,1,1
151,33,2,1
239,33,3,1
327,33,4,1
415,33,5,1
503,33,6,1
591,33,7,1
679,33,8,1
767,33,9,1
855,33,10,1
943,33,11,1
1031,33,12,1
1119,33,13,1
1207,33,14,1
1295,33,15,1
1383,33,16,1
1471,33,17,1
1559,33,18,1
1647,33,19,1
1735,33,20,1
1823,33,21,1
1911,33,22,1
1999,33,23,1
2087,33,24,1
2175,33,25,1
2263,33,26,1
2351,33,27,1
2439,33,28,1
2527,33,29,1
2615,33,30,1
2703,33,31,1
2791,33,32,1
2816,33,1,1
2818,33,2,1
2820,33,3,1
2822,33,4,1
2824,33,5,1
2826,33,6,1
2828,33,7,1
2830,33,8,1
2832,33,9,1
2834,33,10,1
2836,33,11,1
2838,33,12,1
2840,33,13,1
2842,33,14,1
2844,33,15,1
2846,33,16,1
2848,33,17,1
2850,33,18,1
2852,33,19,1
2854,33,20,1
2856,33,21,1
2858,33,22,1
2860,33,23,1
2862,33,24,1
2864,33,25,1
2866,33,26,1
2868,33,27,1
2870,33,28,1
2872,33,29,1
2874,33,30,1
2876,33,31,1
2878,33,32,1
2880,33,34,1
2882,33,35,1
2884,33,36,1
2886,33,37,1
2888,33,38,1
2890,33,39,1
2892,33,40,1
2894,33,41,1
2896,33,42,1
2898,33,43,1
2900,33,44,1
2902,33,45,1
2969,33,34,1
3057,33,35,1
3145,33,36,1
3233,33,37,1
3321,33,38,1
3409,33,39,1
3497,33,40,1
3585,33,41,1
3673,33,42,1
3761,33,43,1
3849,33,44,1
3937,33,45,1
65,34,1,1
153,34,2,1
241,34,3,1
329,34,4,1
417,34,5,1
505,34,6,1
593,34,7,1
681,34,8,1
769,34,9,1
857,34,10,1
945,34,11,1
1033,34,12,1
1121,34,13,1
1209,34,14,1
1297,34,15,1
1385,34,16,1
1473,34,17,1
1561,34,18,1
1649,34,19,1
1737,34,20,1
1825,34,21,1
1913,34,22,1
2001,34,23,1
2089,34,24,1
2177,34,25,1
2265,34,26,1
2353,34,27,1
2441,34,28,1
2529,34,29,1
2617,34,30,1
2705,34,31,1
2793,34,32,1
2881,34,33,1
2904,34,1,1
2906,34,2,1
2908,34,3,1
2910,34,4,1
2912,34,5,1
2914,34,6,1
2916,34,7,1
2918,34,8,1
2920,34,9,1
2922,34,10,1
2924,34,11,1
2926,34,12,1
2928,34,13,1
2930,34,14,1
2932,34,15,1
2934,34,16,1
2936,34,17,1
2938,34,18,1
2940,34,19,1
2942,34,20,1
2944,34,21,1
2946,34,22,1
2948,34,23,1
2950,34,24,1
2952,34,25,1
2954,34,26,1
2956,34,27,1
2958,34,28,1
2960,34,29,1
2962,34,30,1
2964,34,31,1
2966,34,32,1
2968,34,33,1
2970,34,35,1
2972,34,36,1
2974,34,37,1
2976,34,38,1
2978,34,39,1
2980,34,40,1
2982,34,41,1
2984,34,42,1
2986,34,43,1
2988,34,44,1
2990,34,45,1
3059,34,35,1
3147,34,36,1
3235,34,37,1
3323,34,38,1
3411,34,39,1
3499,34,40,1
3587,34,41,1
3675,34,42,1
3763,34,43,1
3851,34,44,1
3939,34,45,1
67,35,1,1
155,35,2,1
243,35,3,1
331,35,4,1
419,35,5,1
507,35,6,1
595,35,7,1
683,35,8,1
771,35,9,1
859,35,10,1
947,35,11,1
1035,35,12,1
1123,35,13,1
1211,35,14,1
1299,35,15,1
1387,35,16,1
1475,35,17,1
1563,35,18,1
1651,35,19,1
1739,35,20,1
1827,35,21,1
1915,35,22,1
2003,35,23,1
2091,35,24,1
2179,35,25,1
2267,35,26,1
2355,35,27,1
2443,35,28,1
2531,35,29,1
2619,35,30,1
2707,35,31,1
2795,35,32,1
2883,35,33,1
2971,35,34,1
2992,35,1,1
2994,35,2,1
2996,35,3,1
2998,35,4,1
3000,35,5,1
3002,35,6,1
3004,35,7,1
3006,35,8,1
3008,35,9,1
3010,35,10,1
3012,35,11,1
3014,35,12,1
3016,35,13,1
3018,35,14,1
3020,35,15,1
3022,35,16,1
3024,35,17,1
3026,35,18,1
3028,35,19,1
3030,35,20,1
3032,35,21,1
3034,35,22,1
3036,35,23,1
3038,35,24,1
3040,35,25,1
3042,35,26,1
3044,35,27,1
3046,35,28,1
3048,35,29,1
3050,35,30,1
3052,35,31,1
3054,35,32,1
3056,35,33,1
3058,35,34,1
3060,35,36,1
3062,35,37,1
3064,35,38,1
3066,35,39,1
3068,35,40,1
3070,35,41,1
3072,35,42,1
3074,35,43,1
3076,35,44,1
3078,35,45,1
3149,35,36,1
3237,35,37,1
3325,35,38,1
3413,35,39,1
3501,35,40,1
3589,35,41,1
3677,35,42,1
3765,35,43,1
3853,35,44,1
3941,35,45,1
69,36,1,1
157,36,2,1
245,36,3,1
333,36,4,1
421,36,5,1
509,36,6,1
597,36,7,1
685,36,8,1
773,36,9,1
861,36,10,1
949,36,11,1
1037,36,12,1
1125,36,13,1
1213,36,14,1
1301,36,15,1
1389,36,16,1
1477,36,17,1
1565,36,18,1
1653,36,19,1
1741,36,20,1
1829,36,21,1
1917,36,22,1
2005,36,23,1
2093,36,24,1
2181,36,25,1
2269,36,26,1
2357,36,27,1
2445,36,28,1
2533,36,29,1
2621,36,30,1
2709,36,31,1
2797,36,32,1
2885,36,33,1
2973,36,34,1
3061,36,35,1
3080,36,1,1
3082,36,2,1
3084,36,3,1
3086,36,4,1
3088,36,5,1
3090,36,6,1
3092,36,7,1
3094,36,8,1
3096,36,9,1
3098,36,10,1
3100,36,11,1
3102,36,12,1
3104,36,13,1
3106,36,14,1
3108,36,15,1
3110,36,16,1
3112,36,17,1
3114,36,18,1
3116,36,19,1
3118,36,20,1
3120,36,21,1
3122,36,22,1
3124,36,23,1
3126,36,24,1
3128,36,25,1
3130,36,26,1
3132,36,27,1
3134,36,28,1
3136,36,29,1
3138,36,30,1
3140,36,31,1
3142,36,32,1
3144,36,33,1
3146,36,34,1
3148,36,35,1
3150,36,37,1
3152,36,38,1
3154,36,39,1
3156,36,40,1
3158,36,41,1
3160,36,42,1
3162,36,43,1
3164,36,44,1
3166,36,45,1
3239,36,37,1
3327,36,38,1
3415,36,39,1
3503,36,40,1
3591,36,41,1
3679,36,42,1
3767,36,43,1
3855,36,44,1
3943,36,45,1
71,37,1,1
159,37,2,1
247,37,3,1
335,37,4,1
423,37,5,1
511,37,6,1
599,37,7,1
687,37,8,1
775,37,9,1
863,37,10,1
951,37,11,1
1039,37,12,1
1127,37,13,1
1215,37,14,1
1303,37,15,1
1391,37,16,1
1479,37,17,1
1567,37,18,1
1655,37,19,1
1743,37,20,1
1831,37,21,1
1919,37,22,1
2007,37,23,1
2095,37,24,1
2183,37,25,1
2271,37,26,1
2359,37,27,1
2447,37,28,1
2535,37,29,1
2623,37,30,1
2711,37,31,1
2799,37,32,1
2887,37,33,1
2975,37,34,1
3063,37,35,1
3151,37,36,1
3168,37,1,1
3170,37,2,1
3172,37,3,1
3174,37,4,1
3176,37,5,1
